Id,OverallRating,ReviewHeader,Name,Datetime,VerifiedReview,ReviewBody,TypeOfTraveller,SeatType,Route,DateFlown,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Aircraft,Food&Beverages,InflightEntertainment,Wifi&Connectivity,clean_review,wordcount,vader_compound_score,vader_prediction,"TextBlob_Analysis (Polarity, Subjectivity)",TextBlob_Analysis (Subjectivity),TextBlob_Analysis (Polarity),textblob_prediction,Transformer_Prediction,Transformer_Score,Transformer_Prediction_Specified,real_y
1269,1,"""served the worst food""",Carl Dawson,19th March 2018,TRUE,Bangkok to London. The worst long haul carrier I have flown with. A very disappointing experience starting with the booking & customer service department who failed to adhere to their price promise policy. The flights served the worst food. The Boeing 777 I flew on was very dated and had power outlets for charging phones & portable devices. The seats were uncomfortable for such a long haul flight and due to the lack of leg room you could feed the knees of the passenger behind pushing into my back for the duration of the journey. Meals were very spread out leaving passengers with no meals or snacks for 8+ hours. When i mentioned to the onboard staff I was hungry I was informed there are no snacks available and a meal would be served shortly before landing. Staff overall were uninterested and unhelpful. The dated screens which the in flight entertainment was shown on were very small and blurry with unresponsive touch screens.,Couple Leisure,Economy Class,Bangkok to London,18-Mar,1,2,1,2,no,Boeing 777,1,2,1,bangkok london. worst long haul carrier flown with. disappointing experience starting booking customer service department failed adhere price promise policy. flights served worst food. boeing 777 flew dated power outlets charging phones portable devices. seats uncomfortable long haul flight due lack leg room could feed knees passenger behind pushing back duration journey. meals spread leaving passengers meals snacks 8 hours. mentioned onboard staff hungry informed snacks available meal would served shortly landing. staff overall uninterested unhelpful. dated screens flight entertainment shown small blurry unresponsive touch screens.,161,"{'neg': 0.206, 'neu': 0.744, 'pos': 0.05, 'compound': -0.9423}",Negative,"Sentiment(polarity=-0.2716666666666666, subjectivity=0.47166666666666673)",0.47166666666666673,-0.271666667,Negative,fear,0.7128273248672485,Negative,Negative
1705,5,"""warned that BA had gone downhill""",Ivan Sterdza,22nd April 2017,FALSE,"Buenos Aires to London. I was warned that BA had gone downhill, but I decided to give it a try on this long haul flight. To start with, you cannot reserve your seat prior to check-in, unless after paying over 2000€ for a business class ticket you are willing to spend some additional 90€ per leg to have your seat reserved. I call this insane, to be honest. So I waited and waited and waited till check-in opened, and made it to get a forward facing aisle seat. LATAM Lounge in Buenos Aires was nice, food average but connecting from Santiago I had the time to take a shower, with ground crew extremely nice and attentive. Boarding was sort of a mess, as BA let frequent flyers (not flying Business) board through the Business class door, so there was a flood of people moving back and forth to get to the rear of the plane; crew simply unable to handle this process, so you did not feel like being taken care of during boarding. Aircraft was a 3-class Boeing 777-300 and looked a bit ""tired"". Seat was the absolute worst part of this flight, as it is narrow, too hard to have a nice sleep, and for aisle passengers this configuration feels like having a ""wall"" on one side and being exposed to people/trolleys passing through the aisle on the other side; once flat it is a little short too (even for me, I'm 180cm high, no giant here) and narrow so you find yourself forced to sleep on a side; in addition to that when you lie down the drawer is not accessible, therefore you have literally no space to store anything, not even your glasses if you wear them. Food was just ok (I still can't understand how BA can run out of entrée options in Business class), crew very mature for such a long trip but friendly and nice, it really shows they are suffering from these cost cuts as they keep apologizing for everything that is not available or not working. Entertainment system made me smile a bit, as the selection of movies was ok but the screen was much smaller than some other carrier Economy class ones. To sum up, it was an average flight, if it was not for the lie-flat seat I would call it more a Premium Economy experience than a Business one. BA needs to improve Business class as they are well below par if compared to almost all European carriers, not even to compare the Middle East airlines. ",Business,Business Class,Buenos Aires to London,17-Apr,2,4,4,3,no,Boeing 777-300,3,3,,buenos aires london. warned ba gone downhill decided give try long haul flight. start cannot reserve seat prior check unless paying 2000 business class ticket willing spend additional 90 per leg seat reserved. call insane honest. waited waited waited till check opened made get forward facing aisle seat. latam lounge buenos aires nice food average connecting santiago time take shower ground crew extremely nice attentive. boarding sort mess ba let frequent flyers flying business board business class door flood people moving back forth get rear plane crew simply unable handle process feel like taken care boarding. aircraft 3 class boeing 777 300 looked bit tired . seat absolute worst part flight narrow hard nice sleep aisle passengers configuration feels like wall one side exposed people trolleys passing aisle side flat little short even 180cm high giant narrow find forced sleep side addition lie drawer accessible therefore literally space store anything even glasses wear them. food ok still cannot understand ba run entr e options business class crew mature long trip friendly nice really shows suffering cost cuts keep apologizing everything available working. entertainment system made smile bit selection movies ok screen much smaller carrier economy class ones. sum average flight lie flat seat would call premium economy experience business one. ba needs improve business class well par compared almost european carriers even compare middle east airlines.,437,"{'neg': 0.101, 'neu': 0.736, 'pos': 0.163, 'compound': 0.9479}",Positive,"Sentiment(polarity=0.05258130081300814, subjectivity=0.4885772357723576)",0.4885772357723576,0.052581301,Positive,love,0.5888908505439758,Positive,Negative
3588,7,British Airways customer review,H Davis,16th June 2014,FALSE,Recently travelled LHR to San Francisco and returned via Las Vegas flight BA0264. Some years since doing long haul and forget how tiring it can be. Flight out was 'ok' but return not so. Outbound spoilt by an hour or so delay when boarded as they decided to change one of the wheels glad they did though. Return yesterday not so good as flight again delayed by about one and a half hours but no real explanation. I realise people want to sleep but they can be so inconsiderate at times. No sooner in their seats and fully reclined. Meal was just adequate curried chicken but breakfast of a very hard croissant with jam a nutty bar some dried cranberries and coffee was not what I really wanted after a delayed 9 hour flight. Entertainment had good choices but sound quality was poor. Boarding process in Las Vegas was rather shambolic. Will still try and 'fly the flag' again.,,Economy Class,,,3,3,,4,yes,,3,3,,recently travelled lhr san francisco returned via las vegas flight ba0264. years since long haul forget tiring be. flight ok return so. outbound spoilt hour delay boarded decided change one wheels glad though. return yesterday good flight delayed one half hours real explanation. realise people want sleep inconsiderate times. sooner seats fully reclined. meal adequate curried chicken breakfast hard croissant jam nutty bar dried cranberries coffee really wanted delayed 9 hour flight. entertainment good choices sound quality poor. boarding process las vegas rather shambolic. still try fly flag again.,159,"{'neg': 0.144, 'neu': 0.694, 'pos': 0.162, 'compound': 0.4336}",Neutral,"Sentiment(polarity=0.1640625, subjectivity=0.5213541666666667)",0.5213541666666667,0.1640625,Positive,joy,0.5879395008087158,Positive,Negative
2334,9,"""seat selection costs extra""",Harry Aronowicz,2nd April 2016,FALSE,"Toronto to London sleeper service means you can have a buffet dinner in the lounge rather than onboard the plane to maximise rest time. Excellent flight, LHR fast track system allowed for speedy connection onto my flight to Berlin. Heathrow to Berlin a pleasant flight with excellent service. The negative issue is that British Airways business class seat selection costs extra if done in advance.",Couple Leisure,Business Class,YYZ to TXL via LHR,16-Mar,5,5,5,4,yes,Boeing 787 / A320,5,5,,toronto london sleeper service means buffet dinner lounge rather onboard plane maximise rest time. excellent flight lhr fast track system allowed speedy connection onto flight berlin. heathrow berlin pleasant flight excellent service. negative issue british airways business class seat selection costs extra done advance.,65,"{'neg': 0.068, 'neu': 0.735, 'pos': 0.197, 'compound': 0.7906}",Positive,"Sentiment(polarity=0.37619047619047624, subjectivity=0.5809523809523809)",0.5809523809523809,0.37619047619047624,Positive,joy,0.9969711303710938,Positive,Positive
856,7,"""more cramped than I expected""",Janet Elphick,14th June 2019,FALSE,"London to Vancouver. Economy was a lot more cramped than I expected. BA had crammed seats in. Crew were okay. Food reasonable really although I had upgraded my food which came before everyone else had theirs which was a shame. Flew back premium class, more room. I probably won’t use them in November when I go back. Timing was good and air quality felt ok as I didn’t get a headache.",Solo Leisure,Economy Class,London to Vancouver,19-Jun,2,4,3,3,no,A380,4,2,1,london vancouver. economy lot cramped expected. ba crammed seats in. crew okay. food reasonable really although upgraded food came everyone else shame. flew back premium class room. probably use november go back. timing good air quality felt ok get headache.,73,"{'neg': 0.067, 'neu': 0.781, 'pos': 0.152, 'compound': 0.4404}",Neutral,"Sentiment(polarity=0.25, subjectivity=0.35)",0.35,0.25,Positive,joy,0.9964724779129028,Positive,Positive
684,5,"""lacks personalized attention""",Everardus Hamans,2nd December 2019,TRUE,"Brussels to Bangkok via London. Club World from London to Bangkok on 17 Nov 2019, seats 15C and 15D. It was a Boeing 777, with a 2-4-2 seat configuration in the business cabin, which gives the cabin a crowded impression. The seats are comfortable, with a flat bed (+mattress!), good selection of entertainment, although a rather small screen. The food menu offers different choices of starters, main course and desserts. The food was disappointing, I had smoked salmon as a starter, and British Beef as main course. My soup was cold, mybeef was overcooked) and quantity was economy class-like. The service is very friendly, but not personal. I’m used to be adressed by my name when I fly business class.  While serving the meals, they forget serving me wine. The amount of cabin crew is not enough for a crowded business class cabin. After dinner I went to sleep. The seat is turned into a real bed, with an extra mattress and a good pillow. The space is narrow, it is difficult to make the bed. Once the bed is made, there is no place to put  personal stuff. I had a real good night of sleep though. If your seat is not at the aisle, you have to step over someones legs to go to the toilet. The toilets are small and simple, not cleaned frequently enough. When I woke up, breakfast service was running.  The breakfast is good.  Yoghurt, pastries, fresh fruit, and a full English Breakfast. Overall, British Airways World Club is a rather standard Business Class, lacks personalized attention and lacks the feel good experience.  If BA wants to compete, they have a long way to go. I hope they can make it up a bit on our return flight.",Business,Business Class,Brussels to Bangkok via London,19-Nov,4,2,4,3,no,Boeing 777,2,3,,brussels bangkok via london. club world london bangkok 17 nov 2019 seats 15c 15d. boeing 777 2 4 2 seat configuration business cabin gives cabin crowded impression. seats comfortable flat bed mattress good selection entertainment although rather small screen. food menu offers different choices starters main course desserts. food disappointing smoked salmon starter british beef main course. soup cold mybeef overcooked quantity economy class like. service friendly personal. used adressed name fly business class. serving meals forget serving wine. amount cabin crew enough crowded business class cabin. dinner went sleep. seat turned real bed extra mattress good pillow. space narrow difficult make bed. bed made place put personal stuff. real good night sleep though. seat aisle step someone legs go toilet. toilets small simple cleaned frequently enough. woke breakfast service running. breakfast good. yoghurt pastries fresh fruit full english breakfast. overall british airways world club rather standard business class lacks personalized attention lacks feel good experience. ba wants compete long way go. hope make bit return flight.,299,"{'neg': 0.04, 'neu': 0.784, 'pos': 0.176, 'compound': 0.9744}",Positive,"Sentiment(polarity=0.12083333333333335, subjectivity=0.40830026455026464)",0.40830026455026464,0.12083333333333335,Positive,joy,0.9202486872673035,Positive,Negative
698,2,"""a remarkably bad experience""",J Cohlen,16th November 2019,TRUE,"London to Vancouver. I used to fly this aircraft and route for many years until it was no longer priced competitively. I flew on the 14th and it was a remarkably bad experience. Food service was very poor in most aspects. I had the chicken tandoori which was far too spicy for most palettes. No drink was offered with the meal which was astonishing. Rather, tea and coffee an obviously far cheaper offering was supplied soon after the dinner tray was handed. I had to ask twice for a beer before it was delivered.This then put me out of sync with the service. The one time (yes one time!) offer of tea and coffee was then obviously missed by me completely. Service itself was not good with no warmth or hospitality. On a 9hr flight engagement is pretty critical! Our hostess/host seemed to be only interested in those sitting in the extra legroom seats and essentially ignored everyone else. The cold snack was a cold tasteless sandwich just prior to landing. The entertainment system is a joke as it is so old. I had become so accustomed to a normal/newish TV screen that I was blown away that this system was still in place. The screen size was the equivalent of your phone’s. No music selection worth talking about so I just used my iPad. On this or similar routes I have flown Air Canada, WestJet, Virgin Atlantic, Air Transat. BA was by far the worst and some of those airlines are budget in nature and offer paid meals only. I cannot believe that the mighty BA offers such a terrible product in 2019. I will spend more to fly better and actively avoid BA on long haul.",Solo Leisure,Economy Class,London to Vancouver,19-Nov,2,2,2,3,no,Boeing 747-400,2,1,,london vancouver. used fly aircraft route many years longer priced competitively. flew 14th remarkably bad experience. food service poor aspects. chicken tandoori far spicy palettes. drink offered meal astonishing. rather tea coffee obviously far cheaper offering supplied soon dinner tray handed. ask twice beer delivered.this put sync service. one time yes one time offer tea coffee obviously missed completely. service good warmth hospitality. 9hr flight engagement pretty critical hostess host seemed interested sitting extra legroom seats essentially ignored everyone else. cold snack cold tasteless sandwich prior landing. entertainment system joke old. become accustomed normal newish tv screen blown away system still place. screen size equivalent phone s. music selection worth talking used ipad. similar routes flown air canada westjet virgin atlantic air transat. ba far worst airlines budget nature offer paid meals only. cannot believe mighty ba offers terrible product 2019. spend fly better actively avoid ba long haul.,291,"{'neg': 0.126, 'neu': 0.709, 'pos': 0.164, 'compound': 0.7226}",Positive,"Sentiment(polarity=0.0019607843137254967, subjectivity=0.657843137254902)",0.657843137,0.001960784,Positive,sadness,0.9574238657951355,Negative,Negative
1015,7,"""most uncomfortable plane""",Peter Driscoll,29th December 2018,FALSE,"Gatwick to Tenerife. This aircraft either needs a refit or needs retiring! G-MEDK is by far the most uncomfortable plane I have ever been on. I paid extra for an extra leg room seat - 12A because I always feel happier without my knees under my chin for a four hour flight. I reckon it was no more than half an hour into my flight that the total lack of padding on the seat turned this flight into an ordeal. It was like sitting on concrete! I would imagine that when this aircraft was new (2005 I believe) the leather seating was quite yielding and comfortable but now with thirteen years of backsides compressing the padding, it was dreadful. I took the precaution of changing my seat for the return and sneaking on a seat pad purchased in Lanzarote which, coupled with there being no passengers next to me, made the flight in 11F a little more bearable. Staff were fine on the outward leg but a little tired by the time I returned at night ten days later. I normally travel Easyjet on this route but on this occasion, I used some Avios to make the flight less expensive. Easyjet offer two trolley runs but only 1 on these BA flights. With their diminishing attitude to customer welfare, I will not use BA on any lengthy flights as the service and comfort offered by Easyjet is, in my experience, far superior.
",Solo Leisure,Economy Class,Gatwick to Tenerife,18-Dec,1,3,5,3,no,A320,4,,,gatwick tenerife. aircraft either needs refit needs retiring g medk far uncomfortable plane ever on. paid extra extra leg room seat 12a always feel happier without knees chin four hour flight. reckon half hour flight total lack padding seat turned flight ordeal. like sitting concrete would imagine aircraft new 2005 believe leather seating quite yielding comfortable thirteen years backsides compressing padding dreadful. took precaution changing seat return sneaking seat pad purchased lanzarote coupled passengers next made flight 11f little bearable. staff fine outward leg little tired time returned night ten days later. normally travel easyjet route occasion used avios make flight less expensive. easyjet offer two trolley runs 1 ba flights. diminishing attitude customer welfare use ba lengthy flights service comfort offered easyjet experience far superior.,242,"{'neg': 0.074, 'neu': 0.806, 'pos': 0.12, 'compound': 0.7655}",Positive,"Sentiment(polarity=-0.04342286501377412, subjectivity=0.5085399449035812)",0.5085399449035812,-0.043422865,Negative,joy,0.9911946058273315,Positive,Negative
1946,2,"""like some cut-rate budget airline""",S Mallen,8th December 2016,FALSE,"I have been a loyal BA frequent flyer for a decade but with their recent cutbacks this might well change. On my recent long haul flight to Nairobi from London, I was shocked to find that the usual tray of snacks available through the flight was no longer available for free - like some cut-rate budget short haul airline, you have to pay. However, unlike a budget airline, BA fares remain higher than most. I returned from Nairobi in premium economy - yet instead of getting something for the substantial extra fare I paid to be in premium, breakfast consisted of 1 muffin - literally 1 muffin only - no juice, no fruit, no nothing. It is a disgrace and disrespectful to customers who have, as I have always done, accepted the higher fares for better service. Even the flight attendants are embarrassed with the new bare bones regime. It is no fun for them to suddenly be charging for token treats which have always been free. Note that BA never cut fares when the price of oil halved, making the current cutbacks about pure avarice. Disrespecting and providing poor service to your loyal customers while charging a premium is not a winning formula. And I wouldn't blame your invariably brilliant flight attendants decamping elsewhere where they will be better treated. The final insult was the response I got when I tweeted my above complaints. I was told that extensive customer research showed customers wanted to be charged for previously free snacks and preferred getting 1 muffin instead of the usual breakfast - while paying the same fare. Which as is apparent to all, a complete lie and insult to injury. I am flying again next week LON - NYC and hope, not optimistically, for better. ",Business,Premium Economy,NBO to LHR,16-Dec,2,3,2,1,no,,1,3,,loyal ba frequent flyer decade recent cutbacks might well change. recent long haul flight nairobi london shocked find usual tray snacks available flight longer available free like cut rate budget short haul airline pay. however unlike budget airline ba fares remain higher most. returned nairobi premium economy yet instead getting something substantial extra fare paid premium breakfast consisted 1 muffin literally 1 muffin juice fruit nothing. disgrace disrespectful customers always done accepted higher fares better service. even flight attendants embarrassed new bare bones regime. fun suddenly charging token treats always free. note ba never cut fares price oil halved making current cutbacks pure avarice. disrespecting providing poor service loyal customers charging premium winning formula. would blame invariably brilliant flight attendants decamping elsewhere better treated. final insult response got tweeted complaints. told extensive customer research showed customers wanted charged previously free snacks preferred getting 1 muffin instead usual breakfast paying fare. apparent complete lie insult injury. flying next week lon nyc hope optimistically better.,292,"{'neg': 0.14, 'neu': 0.613, 'pos': 0.247, 'compound': 0.9739}",Positive,"Sentiment(polarity=0.16298100048100048, subjectivity=0.4820707070707071)",0.4820707070707071,0.16298100048100048,Positive,anger,0.9554445147514343,Negative,Negative
3117,1,British Airways customer review,A Cogan,24th February 2015,FALSE,Beyond Appalling. Flight delayed by ten minutes departing Rome to LHR. As a result one passenger decided he was going to miss his connection in LHR. He was allowed disembark thus leading to a delay in departure from Rome of over 1 hour 30 minutes. Consequent late arrival to LHR. Missed connecting flight. Abandoned in Heathrow at 10.30 on a Sunday night had to book new flights miss a day work find a hotel for the night. Ground staff of no use whatsoever. Staff totally unhelpful. Taking things to a logical conclusion what was to stop more passengers disembarking before departure thus delaying the flight ad infinitum. Correspondence/ contact with BA has been a joke since.,,Economy Class,,,3,1,,1,no,,2,3,,beyond appalling. flight delayed ten minutes departing rome lhr. result one passenger decided going miss connection lhr. allowed disembark thus leading delay departure rome 1 hour 30 minutes. consequent late arrival lhr. missed connecting flight. abandoned heathrow 10.30 sunday night book new flights miss day work find hotel night. ground staff use whatsoever. staff totally unhelpful. taking things logical conclusion stop passengers disembarking departure thus delaying flight ad infinitum. correspondence contact ba joke since.,116,"{'neg': 0.207, 'neu': 0.766, 'pos': 0.026, 'compound': -0.9022}",Negative,"Sentiment(polarity=-0.043939393939393924, subjectivity=0.49242424242424243)",0.49242424242424243,-0.043939394,Negative,sadness,0.7095059752464294,Negative,Negative
