Job Title,Company,File Name,Source URL,Date Collected,Role Type
Business Intelligence Analyst,Guitar Center,Business Inteligence Analyst-Guitar Center,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4384414218&origin=JYMBII_IN_APP_NOTIFICATION&originToLandingJobPostings=4392357648%2C4407124320,4/28/2026,Business Intelligence Analyst
"Business Intelligence Analyst, Sports - Brand Consulting",Creative Artists Agency,Business Intelligence Analyst-CAA,https://www.linkedin.com/jobs/view/4402204259/,4/28/2026,Business Intelligence Analyst
Business Intelligence Analyst,Los Angeles Tourism and Convention Board,Business Intelligence Analyst- LA Tourism and Convention Board,https://www.linkedin.com/jobs/view/4366060859/,4/28/2026,Business Intelligence Analyst
Business Analyst,Red Bull Distribution Company,Business Analyst-RedBull,https://www.linkedin.com/jobs/view/4405852876/,4/28/2026,Business Analyst
Business Analyst,Hadrian,Business Analyst-Hadrian,https://www.linkedin.com/jobs/view/4402613474/,4/28/2026,Business Analyst
Business Analyst,Polestar Analytics,Business Analyst-Polestar Analytics,https://www.linkedin.com/jobs/view/4399610949/,4/28/2026,Business Analyst
Business Analyst I,"Skyworks Solutions, Inc.",Business Analyst-Skyworks,https://www.linkedin.com/jobs/view/4403514344/,4/28/2026,Business Analyst
"Sr. Analyst, Strategy and Analytics",SoFi Stadium and Hollywood Park,"Sr. Analyst, Strategy and Analytics-Sofi Stadium",https://www.linkedin.com/jobs/view/4388281012/,4/28/2026,Strategy Analyst
Strategy Associate,Cedars Sinai,Strategy Associate-Cedars Sinai,https://www.linkedin.com/jobs/view/4400809577/,4/28/2026,Strategy Analyst
"Manager, Strategy",Paramount,Strategy Manager- Paramount,https://www.linkedin.com/jobs/view/4398583482/,4/28/2026,Strategy Analyst
